LangPair_isimplified,LanguagePairing1,Colour_code
English_other,English + Other,1
English_Arabic,English + Arabic,1
English_Chinese languages,English + Chinese languages,1
English_French,English + French,2
English_German,English + German,1
English_Italian,English + Italian,1
English_Panjabi (Punjabi),English + Panjabi,1
English_Spanish,English + Spanish,1
"English_Tagalog (Pilipino, Filipino)",English + Tagalog,1
French_other,French + Other,3
French_Arabic,French + Arabic,3
French_Spanish,French + Spanish,3
other_other,Other + Other,4
