province,language_pair,percent_bilingual_children_age_0_to_4,percent_bilingual_children_age_5_to_9,percent_bilingual_children_age_0_to_9,percent_all_children_age_0_to_4,percent_all_children_age_5_to_9,percent_all_children_age_0_to_9
Newfoundland and Labrador,English & French,13,48.4,33.3,0.5,2.1,1.4
,Other Pairs,87,51.6,66.7,3.4,2.2,2.7
Prince Edward Island,English & French,57.1,76.9,70,4,10.6,7.2
,English & Mandarin,14.3,7.7,10,1,1.1,1
,Other Pairs,28.6,15.4,20,2,2.1,2.1
Nova Scotia,English & French,36.5,56.5,49,2.3,5.7,4.1
,English & Arabic,16.2,6.5,10.1,1,0.7,0.8
,Other Pairs,47.3,37.1,40.9,3,3.8,3.4
New Brunswick,English & French,76.3,79.3,78.2,7.9,13.1,10.6
,Other Pairs,23.7,20.7,21.8,2.4,3.4,3
Quebec,English & French,38.7,40.7,39.8,7.7,9.9,8.9
,French & Arabic,9.5,8.9,9.2,1.9,2.2,2
,French & Spanish,5.7,4.9,5.3,1.1,1.2,1.2
,Other Pairs,46.1,45.4,45.7,9.2,11,10.2
Ontario,English & French,16.9,24.9,21.7,3,6.4,4.8
,English & Urdu,5.1,5.4,5.3,0.9,1.4,1.2
,English & Mandarin,5.2,4.1,4.5,0.9,1.1,1
,English & Punjabi,4.5,4.5,4.5,0.8,1.1,1
,English & Arabic,4.3,4.2,4.2,0.8,1.1,0.9
,English & Spanish,3.8,2.8,3.2,0.7,0.7,0.7
,English & Tamil,3.2,2.6,2.9,0.6,0.7,0.6
,Other Pairs,57,51.5,53.7,10.3,13.2,11.8
Manitoba,English & French,17.5,20.3,19.2,2.3,3.8,3.1
,English & Tagalog,11.7,8.2,9.6,1.5,1.5,1.5
,Aboriginal & English,7.7,8.4,8.1,1,1.6,1.3
,English & German,5.5,6.9,6.3,0.7,1.3,1
,English & Punjabi,5.8,4.2,4.9,0.8,0.8,0.8
,Other Pairs,51.8,52,51.9,6.7,9.8,8.3
Saskatchewan,Aboriginal & English,14,12.9,13.3,1.3,1.7,1.5
,English & French,4.7,17.6,12.6,0.4,2.4,1.4
,English & Tagalog,11.7,9.9,10.6,1.1,1.3,1.2
,English & Urdu,6.4,7,6.8,0.6,0.9,0.8
,Other Pairs,63.2,52.6,56.7,5.7,7,6.4
Alberta,English & French,8,17.1,13.1,1.2,3.2,2.2
,English & Tagalog,8.5,5,6.5,1.3,0.9,1.1
,English & Punjabi,5.1,6.2,5.7,0.8,1.1,1
,English & Arabic,5.6,5,5.3,0.8,0.9,0.9
,English & Spanish,4.7,5,4.8,0.7,0.9,0.8
,English & Urdu,3.9,3.5,3.7,0.6,0.6,0.6
,Other Pairs,64.2,58.3,60.9,9.6,10.9,10.2
British Columbia,English & Punjabi,12.2,14.5,13.5,2.1,3.1,2.6
,English & French,6.6,15.8,11.9,1.1,3.4,2.3
,English & Mandarin,13.7,8.6,10.8,2.3,1.8,2.1
,English & Cantonese,5.9,5.1,5.4,1,1.1,1
,English & Spanish,4.2,2.6,3.3,0.7,0.5,0.6
,Other Pairs,57.3,53.5,55.1,9.6,11.4,10.5
Northern Canada,Aboriginal & English,50.7,50,50.3,14.9,19.2,17
,English & French,11,9.6,10.2,3.2,3.7,3.4
,English & Tagalog,5.5,1.1,3,1.6,0.4,1
,Other Pairs,32.9,39.4,36.5,9.6,15.1,12.3
