"language_pair_collapsed","percent_bilingual_children_age_0_to_4","percent_all_children_age_0_to_4","percent_bilingual_children_age_5_to_9","percent_all_children_age_5_to_9","percent_bilingual_children_age_0_to_9","percent_all_children_age_0_to_9"
"English&French",21.3,3.6,27.9,6.2,25.1,4.9
"English&Mandarin",4.6,0.8,3.4,0.8,3.9,0.8
"English&Punjabi",4.3,0.7,4.5,1,4.4,0.9
"Arabic&English",3.4,0.6,3,0.7,3.2,0.6
"English&Urdu",2.9,0.5,3.2,0.7,3.1,0.6
"Aboriginal&English",1.7,0.3,1.8,0.4,1.8,0.3
"Aboriginal&French",0.2,0,0.2,0.1,0.2,0
"English & Other",47.3,7.9,42.4,9.5,44.5,8.7
"French & Other",13.1,2.2,12.7,2.8,12.9,2.5
"Other & Other",1.1,0.2,0.8,0.2,0.9,0.2
