country,province,language_pair,percent_bilingual_children_age_0_to_4,percent_bilingual_children_age_5_to_9,percent_bilingual_children_age_0_to_9,percent_all_children_age_0_to_4,percent_all_children_age_5_to_9,percent_all_children_age_0_to_9
NA,Newfoundland and Labrador,English & French,13,48.4,33.3,0.5,2.1,1.4
NA,Newfoundland and Labrador,Aboriginal & English,8.7,9.7,9.3,0.3,0.4,0.4
NA,Newfoundland and Labrador,English & Arabic,8.7,3.2,5.6,0.3,0.1,0.2
NA,Newfoundland and Labrador,English & Mandarin,8.7,3.2,5.6,0.3,0.1,0.2
NA,Newfoundland and Labrador,English & Spanish,8.7,3.2,5.6,0.3,0.1,0.2
NA,Prince Edward Island,English & French,57.1,76.9,70,4,10.6,7.2
NA,Prince Edward Island,English & Mandarin,14.3,7.7,10,1,1.1,1
NA,Prince Edward Island,English & Arabic,7.1,3.8,5,0.5,0.5,0.5
NA,Prince Edward Island,English & Tagalog,7.1,3.8,5,0.5,0.5,0.5
NA,Nova Scotia,English & French,36.5,56.5,49,2.3,5.7,4.1
NA,Nova Scotia,English & Arabic,16.2,6.5,10.1,1,0.7,0.8
NA,New Brunswick,English & French,76.3,79.3,78.2,7.9,13.1,10.6
NA,Quebec,English & French,38.7,40.7,39.8,7.7,9.9,8.9
NA,Quebec,French & Arabic,9.5,8.9,9.2,1.9,2.2,2
NA,Quebec,French & Spanish,5.7,4.9,5.3,1.1,1.2,1.2
NA,Ontario,English & French,16.9,24.9,21.7,3,6.4,4.8
NA,Ontario,English & Urdu,5.1,5.4,5.3,0.9,1.4,1.2
NA,Ontario,English & Mandarin,5.2,4.1,4.5,0.9,1.1,1
NA,Ontario,English & Punjabi,4.5,4.5,4.5,0.8,1.1,1
NA,Ontario,English & Arabic,4.3,4.2,4.2,0.8,1.1,0.9
NA,Manitoba,English & French,17.5,20.3,19.2,2.3,3.8,3.1
NA,Manitoba,English & Tagalog,11.7,8.2,9.6,1.5,1.5,1.5
NA,Manitoba,Aboriginal & English,7.7,8.4,8.1,1,1.6,1.3
NA,Manitoba,English & German,5.5,6.9,6.3,0.7,1.3,1
NA,Manitoba,English & Punjabi,5.8,4.2,4.9,0.8,0.8,0.8
NA,Saskatchewan,Aboriginal & English,14,12.9,13.3,1.3,1.7,1.5
NA,Saskatchewan,English & French,4.7,17.6,12.6,0.4,2.4,1.4
NA,Saskatchewan,English & Tagalog,11.7,9.9,10.6,1.1,1.3,1.2
NA,Saskatchewan,English & Urdu,6.4,7,6.8,0.6,0.9,0.8
NA,Alberta,English & French,8,17.1,13.1,1.2,3.2,2.2
NA,Alberta,English & Tagalog,8.5,5,6.5,1.3,0.9,1.1
NA,Alberta,English & Punjabi,5.1,6.2,5.7,0.8,1.1,1
NA,Alberta,English & Arabic,5.6,5,5.3,0.8,0.9,0.9
NA,Alberta,English & Spanish,4.7,5,4.8,0.7,0.9,0.8
NA,British Columbia,English & Punjabi,12.2,14.5,13.5,2.1,3.1,2.6
NA,British Columbia,English & French,6.6,15.8,11.9,1.1,3.4,2.3
NA,British Columbia,English & Mandarin,13.7,8.6,10.8,2.3,1.8,2.1
NA,British Columbia,English & Cantonese,5.9,5.1,5.4,1,1.1,1
NA,Northern Canada,Aboriginal & English,50.7,50,50.3,14.9,19.2,17
NA,Northern Canada,English & French,11,9.6,10.2,3.2,3.7,3.4
Canada,NA,English & French,21.3,27.9,25.1,3.6,6.2,4.9
Canada,NA,English & Punjabi,4.3,4.5,4.4,0.7,1,0.9
Canada,NA,English & Mandarin,4.6,3.4,3.9,0.8,0.8,0.8
Canada,NA,English & Arabic,3.4,3,3.2,0.6,0.7,0.6
Canada,NA,English & Urdu,2.9,3.2,3.1,0.5,0.7,0.6
