Lang_Combo_top2,lang_combo_label,Colour_code
English_Other,English + Other,1
Arabic_English,English + Arabic,1
English_Mandarin,English + Mandarin,1
English_French,English + French,2
English_German,English + German,1
English_Italian,English + Italian,1
English_Punjabi (Panjabi),English + Panjabi,1
English_Spanish,English + Spanish,1
"English_Tagalog (Pilipino, Filipino)",English + Tagalog,1
French_Other,French + Other,3
Arabic_French,French + Arabic,3
French_Spanish,French + Spanish,3
Other_Other,Other + Other,4
English_Other Afro-Asiatic and African languages,English + African Lang,1
English_Other Indo-Iranian languages,English + Indo-Iranian,1
English_Urdu,English + Urdu,1
